Altium Designer Pick and Place Locations
C:\Users\pc\Documents\Lazer-light-cueing\Hardware\Laser-Cueing\Project Outputs for Laser-Cueing\Pick Place for 06042024_LaserCueing.txt

========================================================================================================================
File Design Information:

Date:       04/06/24
Time:       12:43
Revision:   f38f82a25cf8143d8d96c3bc966f9d217f676b4d
Variant:    No variations
Units used: mm

Designator      Comment            Layer       Footprint               Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                                                                                                          Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) 
Servo           "JP 1x3 2.54"      TopLayer    JP_1x3_DT               24.3840      56.0070      270      C?m                                                                                                                                                                                                                                                                                  24.3840   58.5470   24.3840   58.5470   
R18             220R               BottomLayer tro_smd_0603            48.7934      30.9880      360      Dán                                                                                                                                                                                                                                                                                  48.7934   30.9880   48.0434   30.9880   
R17             220R               BottomLayer tro_smd_0603            48.7265      28.2414      360      Dán                                                                                                                                                                                                                                                                                  48.7265   28.2414   47.9765   28.2414   
R16             220R               BottomLayer tro_smd_0603            48.7934      33.4010      360      Dán                                                                                                                                                                                                                                                                                  48.7934   33.4010   48.0434   33.4010   
R15             220R               BottomLayer tro_smd_0603            48.7934      35.9410      360      Dán                                                                                                                                                                                                                                                                                  48.7934   35.9410   48.0434   35.9410   
R9              4.7k               TopLayer    tro_smd_0603            39.7828      64.5160      0        Dán                                                                                                                                                                                                                                                                                  39.7828   64.5160   39.0328   64.5160   
R8              4.7k               TopLayer    tro_smd_0603            36.0445      64.5314      0        Dán                                                                                                                                                                                                                                                                                  36.0445   64.5314   35.2945   64.5314   
R3              0R                 TopLayer    tro_smd_0603            19.6317      45.8962      90       Dán                                                                                                                                                                                                                                                                                  19.6317   45.8962   19.6317   45.1462   
C13             105                BottomLayer tu_1206                 8.1280       50.8000      270      Dán                                                                                                                                                                                                                                                                                  8.1280    50.8000   8.1280    52.4500   
C3              104                TopLayer    tu_1206                 19.4310      58.4190      270      Dán                                                                                                                                                                                                                                                                                  19.4310   58.4190   19.4310   60.0690   
Battery         Battery            TopLayer    BAT-2                   48.1330      68.5800      180      "Multicell Battery"                                                                                                                                                                                                                                                                  48.1330   68.5800   49.4030   68.5800   
Y1              FOXSDLF/160-20     TopLayer    SMD_Crystal             13.9700      41.5700      270      "Crystal 16MHz 20pF 2-Pin HC-49/SD"                                                                                                                                                                                                                                                  11.7348   47.1961   13.9700   45.7200   
USB             MINI_USB_Grounding TopLayer    MINI_USB                54.8031      44.9530      180      ""                                                                                                                                                                                                                                                                                   52.0031   43.3430   52.0031   43.3430   
U8              ICM-20948          TopLayer    QFN40P300X300X105-24N   32.7660      20.0660      180      "Accelerometer, Gyroscope, Magnetometer, 9 Axis Sensor IÂ²C, SPI Output"                                                                                                                                                                                                             32.7660   20.0660   34.3110   19.0660   
U7              MAX1555EZK+T       TopLayer    SOT95P275X110-5N        45.4660      37.9560      270      ""                                                                                                                                                                                                                                                                                   45.4660   37.9560   46.4160   39.1160   
U6              TPS73618DBVTG4     TopLayer    SOT95P280X145-5N        46.0350      26.1470      270      ""                                                                                                                                                                                                                                                                                   46.0350   26.1470   46.9850   27.4020   
U5              TPS73630DBVR       BottomLayer DBV5-M                  14.3510      57.9120      180      "No Description Available"                                                                                                                                                                                                                                                           14.3510   57.9120   15.8179   58.8620   
U4              LT6650IS5#TRPBF    BottomLayer SOT95P280X100-5N        11.6840      24.8920      180      "Micropower, 400mV Reference with Rail-to-Rail Buffer Amplifier"                                                                                                                                                                                                                     11.6840   24.8920   12.9032   25.8318   
U3              TPS73630DBVR       TopLayer    DBV5-M                  45.0152      58.4810      180      "No Description Available"                                                                                                                                                                                                                                                           45.0152   58.4810   46.4820   57.5310   
U2              OPA2335AID         BottomLayer SOIC127P599X175-8N      11.6840      31.6230      180      ""                                                                                                                                                                                                                                                                                   11.6840   31.6230   14.3540   33.5280   
U1              STM32F446RET6      TopLayer    QFP50P1200X1200X160-64N 30.3810      42.1990      0        "MCU 32-Bit STM32 ARM Cortex M4 RISC 512KB Flash 2.5V/3.3V 64-Pin LQFP Tray"                                                                                                                                                                                                         30.3810   42.1990   24.7010   45.9490   
SWD/JTAG        "JP 2x10 2.54"     TopLayer    JP_2x10_DT              27.5590      69.3420      180      C?m                                                                                                                                                                                                                                                                                  27.5590   69.3420   38.9890   70.6120   
Reset           SKQGAFE010         TopLayer    SW_SKQGAFE010           14.9860      58.0390      270      "Switch Tactile N.O. SPST Button Gull Wing 0.05A 12VDC 0.98N SMD T/R"                                                                                                                                                                                                                14.9860   58.0390   16.8360   61.1390   
R28             2.2k               TopLayer    tro_smd_0603            29.0830      16.3982      360      Dán                                                                                                                                                                                                                                                                                  29.0830   16.3982   28.3330   16.3982   
R27             2.2k               TopLayer    tro_smd_0603            32.7660      16.3982      360      Dán                                                                                                                                                                                                                                                                                  32.7660   16.3982   32.0160   16.3982   
R26             2.2k               TopLayer    tro_smd_0603            28.3090      11.0490      180      Dán                                                                                                                                                                                                                                                                                  28.3090   11.0490   29.0590   11.0490   
R25             2.2k               TopLayer    tro_smd_0603            33.5400      11.0490      360      Dán                                                                                                                                                                                                                                                                                  33.5400   11.0490   32.7900   11.0490   
R24             2.2k               TopLayer    tro_smd_0603            36.3220      23.7071      180      Dán                                                                                                                                                                                                                                                                                  36.3220   23.7071   37.0720   23.7071   
R23             2.2k               TopLayer    tro_smd_0603            37.0960      11.0490      360      Dán                                                                                                                                                                                                                                                                                  37.0960   11.0490   36.3460   11.0490   
R22             2.2k               TopLayer    tro_smd_0603            36.3220      16.3982      360      Dán                                                                                                                                                                                                                                                                                  36.3220   16.3982   35.5720   16.3982   
R21             2.2k               TopLayer    tro_smd_0603            31.4960      30.2380      90       Dán                                                                                                                                                                                                                                                                                  31.4960   30.2380   31.4960   29.4880   
R20             2.2k               TopLayer    tro_smd_0603            31.0000      24.0030      180      Dán                                                                                                                                                                                                                                                                                  31.0000   24.0030   31.7500   24.0030   
R19             2.2k               TopLayer    tro_smd_0603            36.3220      30.2140      90       Dán                                                                                                                                                                                                                                                                                  36.3220   30.2140   36.3220   29.4640   
R14             1k                 TopLayer    tro_smd_0603            45.2440      43.1558      360      Dán                                                                                                                                                                                                                                                                                  45.2440   43.1558   44.4940   43.1558   
R13             1k                 TopLayer    tro_smd_0603            40.3861      56.0170      360      Dán                                                                                                                                                                                                                                                                                  40.3861   56.0170   39.6361   56.0170   
R12             3.9k               BottomLayer tro_smd_0603            7.1120       31.2300      90       Dán                                                                                                                                                                                                                                                                                  7.1120    31.2300   7.1120    30.4800   
R11             3.9k               BottomLayer tro_smd_0603            18.5420      32.7540      90       Dán                                                                                                                                                                                                                                                                                  18.5420   32.7540   18.5420   32.0040   
R10             4.7k               TopLayer    tro_smd_0603            32.2727      64.5160      180      Dán                                                                                                                                                                                                                                                                                  32.2727   64.5160   33.0227   64.5160   
R7              4.7k               TopLayer    tro_smd_0603            28.5563      64.5160      0        Dán                                                                                                                                                                                                                                                                                  28.5563   64.5160   27.8063   64.5160   
R6              4.7k               TopLayer    tro_smd_0603            24.9449      64.5314      0        Dán                                                                                                                                                                                                                                                                                  24.9449   64.5314   24.1949   64.5314   
R4              0R                 TopLayer    tro_smd_0603            19.8120      37.6040      90       Dán                                                                                                                                                                                                                                                                                  19.8120   37.6040   19.8120   36.8540   
R5              1k                 TopLayer    tro_smd_0603            21.5900      30.1705      270      Dán                                                                                                                                                                                                                                                                                  21.5900   30.1705   21.5900   30.9205   
R2              10k                TopLayer    tro_smd_0603            20.8309      64.5314      360      Dán                                                                                                                                                                                                                                                                                  20.8309   64.5314   20.0809   64.5314   
R1              10k                TopLayer    tro_smd_0603            11.6840      69.3300      90       Dán                                                                                                                                                                                                                                                                                  11.6840   69.3300   11.6840   68.5800   
Q9              SI2312             TopLayer    SOT23                   29.0830      13.4653      180      "<b>N-Channel MOSFET</b>    <a href="https://pricing.snapeda.com/parts/SI2312/Micro%20Commercial%20Components/view-part?ref=eda">Check availability</a> <a href="https://pricing.snapeda.com/parts/SI2312/Micro%20Commercial%20Components/view-part?ref=eda">Check availability</a>" 29.0830   13.4653   30.0330   14.5653   
Q8              SI2312             TopLayer    SOT23                   32.7660      13.4653      180      "<b>N-Channel MOSFET</b>    <a href="https://pricing.snapeda.com/parts/SI2312/Micro%20Commercial%20Components/view-part?ref=eda">Check availability</a> <a href="https://pricing.snapeda.com/parts/SI2312/Micro%20Commercial%20Components/view-part?ref=eda">Check availability</a>" 32.7660   13.4653   33.7160   14.5653   
Q7              SI2312             TopLayer    SOT23                   36.4490      26.7130      0        "<b>N-Channel MOSFET</b>    <a href="https://pricing.snapeda.com/parts/SI2312/Micro%20Commercial%20Components/view-part?ref=eda">Check availability</a> <a href="https://pricing.snapeda.com/parts/SI2312/Micro%20Commercial%20Components/view-part?ref=eda">Check availability</a>" 36.4490   26.7130   35.4990   25.6130   
Q6              SI2312             TopLayer    SOT23                   36.3220      13.4653      180      "<b>N-Channel MOSFET</b>    <a href="https://pricing.snapeda.com/parts/SI2312/Micro%20Commercial%20Components/view-part?ref=eda">Check availability</a> <a href="https://pricing.snapeda.com/parts/SI2312/Micro%20Commercial%20Components/view-part?ref=eda">Check availability</a>" 36.3220   13.4653   37.2720   14.5653   
