Altium Designer Pick and Place Locations
C:\Users\pc\Documents\Lazer-light-cueing\Hardware\Laser-Cueing\Project Outputs for Laser-Cueing\Pick Place for Cueing-PCB-Mk2_4302024.txt

========================================================================================================================
File Design Information:

Date:       30/04/24
Time:       14:53
Revision:   d6eafdc2cce7c2a27b7669b61efecb19b6bffdf3
Variant:    No variations
Units used: mm

Designator      Comment                                Layer       Footprint                                   Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                                                                                                          Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) 
"Power Options" OS102011MS2QN1                         TopLayer    SW_OS102011MS2QN1                           47.3710      48.0060      180      "Switch Slide ON ON SPDT Top Slide 0.1A 12VDC 10000Cycles PC Pins Thru-Hole Bulk"                                                                                                                                                                                                    47.3710   48.0060   49.3710   48.0060   
R9              1k                                     TopLayer    tro_smd_0603                                14.3510      27.8439      270      Dán                                                                                                                                                                                                                                                                                  14.3510   27.8439   14.3510   28.5939   
LED3            "LED 0805"                             TopLayer    LED-0805-Yellow                             14.3510      31.4960      90       Dán                                                                                                                                                                                                                                                                                  14.3510   30.3530   14.3510   30.3530   
I/O2            "JP 2x5 2.54"                          TopLayer    JP_2x5_DT                                   1.7780       45.8470      90       C?m                                                                                                                                                                                                                                                                                  1.7780    45.8470   3.0480    40.7670   
ADC             "CON 3 EDG5.08"                        TopLayer    CON_3_3EDG5.08                              0.7620       24.5174      90       C?m                                                                                                                                                                                                                                                                                  0.7620    19.4310   0.7620    19.4310   
JDY-18          "JP 1x5 2.54"                          TopLayer    JP_1x5_CC                                   43.5610      38.3540      270      C?m                                                                                                                                                                                                                                                                                  43.5610   38.3540   43.5610   43.4340   
Y2              CM7V-T1A-32.768KHZ-12.5PF-100PPM-TB-QC TopLayer    XTAL_CM7V-T1A-32.768KHZ-12.5PF-100PPM-TB-QC 9.7790       44.5570      270      ""                                                                                                                                                                                                                                                                                   9.7790    44.5570   9.7790    45.8070   
Y1              ECS-80-20-20A-TR                       TopLayer    XTAL_ECS-80-20-20A-TR                       8.5090       33.6550      360      "SMD CRYSTAL"                                                                                                                                                                                                                                                                        8.5090    33.6550   5.3590    33.6550   
U7              ICM-20948                              TopLayer    QFN40P300X300X105-24N                       11.8650      11.1550      90       "Accelerometer, Gyroscope, Magnetometer, 9 Axis Sensor IÂ²C, SPI Output"                                                                                                                                                                                                             11.8650   11.1550   10.8650   9.6100    
U6              MAX1555EZK+T                           TopLayer    SOT95P275X110-5N                            46.7190      55.3110      360      ""                                                                                                                                                                                                                                                                                   46.7190   55.3110   45.5590   56.2610   
U5              AP7331-18WG-7                          TopLayer    SOT95P285X145-5N                            29.3370      24.7650      270      "LDO Regulator Pos 1.8V 0.3A 5-Pin SOT-25 T/R"                                                                                                                                                                                                                                       29.3370   24.7650   30.2870   25.9400   
U4              LT6650IS5#TRPBF                        BottomLayer SOT95P280X100-5N                            1.2139       34.8797      90       "Micropower, 400mV Reference with Rail-to-Rail Buffer Amplifier"                                                                                                                                                                                                                     1.2139    34.8797   2.1537    33.6605   
U2              OPA2335AID                             BottomLayer SOIC127P599X175-8N                          12.0650      32.8930      180      ""                                                                                                                                                                                                                                                                                   12.0650   32.8930   14.7350   34.7980   
U1              STM32F446RET6                          TopLayer    QFP50P1200X1200X160-64N                     23.2410      39.8780      360      "MCU 32-Bit STM32 ARM Cortex M4 RISC 512KB Flash 2.5V/3.3V 64-Pin LQFP Tray"                                                                                                                                                                                                         23.2410   39.8780   17.5610   43.6280   
SWD/JTAG        "JP 2x10 2.54"                         TopLayer    JP_2x10_DT                                  13.7160      68.7070      180      C?m                                                                                                                                                                                                                                                                                  13.7160   68.7070   25.1460   69.9770   
Reset           SKQGAFE010                             TopLayer    SW_SKQGAFE010                               3.1750       58.6740      270      "Switch Tactile N.O. SPST Button Gull Wing 0.05A 12VDC 0.98N SMD T/R"                                                                                                                                                                                                                3.1750    58.6740   5.0250    61.7740   
R32             2.2k                                   TopLayer    tro_smd_0603                                14.7116      17.9070      360      Dán                                                                                                                                                                                                                                                                                  14.7116   17.9070   13.9616   17.9070   
R31             2.2k                                   TopLayer    tro_smd_0603                                19.8120      17.9070      360      Dán                                                                                                                                                                                                                                                                                  19.8120   17.9070   19.0620   17.9070   
R29             2.2k                                   TopLayer    tro_smd_0603                                12.1844      24.1300      180      Dán                                                                                                                                                                                                                                                                                  12.1844   24.1300   12.9344   24.1300   
R28             2.2k                                   TopLayer    tro_smd_0603                                17.1450      24.1300      180      Dán                                                                                                                                                                                                                                                                                  17.1450   24.1300   17.8950   24.1300   
R27             2.2k                                   TopLayer    tro_smd_0603                                18.5420      14.4780      90       Dán                                                                                                                                                                                                                                                                                  18.5420   14.4780   18.5420   13.7280   
